1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,4.6,20,0,14.9,0,0,0.3,0,1,0
2,4.66,20,0,14.9,0,0,0.3,0,1,0
3,4.72,20,0,14.9,0,0,0.3,0,1,0
4,4.78,20,0,14.9,0,0,0.3,0,1,0
5,4.84,20,0,14.9,0,0,0.3,0,1,0
6,4.9,20,0,14.9,0,0,0.3,0,1,0
7,4.96,20,0,14.9,0,0,0.3,0,1,0
8,5.02,20,0,14.9,0,0,0.3,0,1,0
9,5.08,20,0,14.9,0,0,0.3,0,1,0
10,5.14,20,0,14.9,0,0,0.3,0,1,0
11,5.188,20,0,14.9,0,0,0.3,0,1,0
12,5.248,20,0,14.9,0,0,0.3,0,1,0
13,5.308,20,0,14.9,0,0,0.3,0,1,0
14,5.368,20,0,14.9,0,0,0.3,0,1,0
15,5.428,20,0,14.9,0,0,0.3,0,1,0
16,5.488,20,0,14.9,0,0,0.3,0,1,0
17,5.548,20,0,14.9,0,0,0.3,0,1,0
18,5.608,20,0,14.9,0,0,0.3,0,1,0
19,5.668,20,0,14.9,0,0,0.3,0,1,0
20,5.728,20,0,14.9,0,0,0.3,0,1,0
21,5.776,20,0,14.9,0,0,0.3,0,1,0
22,5.836,20,0,14.9,0,0,0.3,0,1,0
23,5.896,20,0,14.9,0,0,0.3,0,1,0
24,5.956,20,0,14.9,0,0,0.3,0,1,0
25,6.016,20,0,14.9,0,0,0.3,0,1,0
26,6.076,20,0,14.9,0,0,0.3,0,1,0
27,6.136,20,0,14.9,0,0,0.3,0,1,0
28,6.196,20,0,14.9,0,0,0.3,0,1,0
29,6.256,20,0,14.9,0,0,0.3,0,1,0
30,6.316,20,0,14.9,0,0,0.3,0,1,0
31,6.364,20,0,14.9,0,0,0.3,0,1,0
32,6.424,20,0,14.9,0,0,0.3,0,1,0
33,6.484,20,0,14.9,0,0,0.3,0,1,0
34,6.544,20,0,14.9,0,0,0.3,0,1,0
35,6.604,20,0,14.9,0,0,0.3,0,1,0
36,6.664,20,0,14.9,0,0,0.3,0,1,0
37,6.724,20,0,14.9,0,0,0.3,0,1,0
38,6.784,20,0,14.9,0,0,0.3,0,1,0
39,6.844,20,0,14.9,0,0,0.3,0,1,0
40,6.904,20,0,14.9,0,0,0.3,0,1,0
41,6.952,20,0,14.9,0,0,0.3,0,1,0
42,7.022,20,0,14.9,0,0,0.3,0,1,0
43,7.092,20,0,14.9,0,0,0.3,0,1,0
44,7.162,20,0,14.9,0,0,0.3,0,1,0
45,7.232,20,0,14.9,0,0,0.3,0,1,0
46,7.302,20,0,14.9,0,0,0.3,0,1,0
47,7.372,20,0,14.9,0,0,0.3,0,1,0
48,7.442,20,0,14.9,0,0,0.3,0,1,0
49,7.512,20,0,14.9,0,0,0.3,0,1,0
50,7.582,20,0,14.9,0,0,0.3,0,1,0
