1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,6.62,20,0,14.9,0,0,0.3,0,1,0
2,6.66,20,0,14.9,0,0,0.3,0,1,0
3,6.7,20,0,14.9,0,0,0.3,0,1,0
4,6.74,20,0,14.9,0,0,0.3,0,1,0
5,6.78,20,0,14.9,0,0,0.3,0,1,0
6,6.82,20,0,14.9,0,0,0.3,0,1,0
7,6.86,20,0,14.9,0,0,0.3,0,1,0
8,6.9,20,0,14.9,0,0,0.3,0,1,0
9,6.94,20,0,14.9,0,0,0.3,0,1,0
10,6.98,20,0,14.9,0,0,0.3,0,1,0
11,6.994,20,0,14.9,0,0,0.3,0,1,0
12,7.034,20,0,14.9,0,0,0.3,0,1,0
13,7.074,20,0,14.9,0,0,0.3,0,1,0
14,7.114,20,0,14.9,0,0,0.3,0,1,0
15,7.154,20,0,14.9,0,0,0.3,0,1,0
16,7.194,20,0,14.9,0,0,0.3,0,1,0
17,7.234,20,0,14.9,0,0,0.3,0,1,0
18,7.274,20,0,14.9,0,0,0.3,0,1,0
19,7.314,20,0,14.9,0,0,0.3,0,1,0
20,7.354,20,0,14.9,0,0,0.3,0,1,0
21,7.368,20,0,14.9,0,0,0.3,0,1,0
22,7.408,20,0,14.9,0,0,0.3,0,1,0
23,7.448,20,0,14.9,0,0,0.3,0,1,0
24,7.488,20,0,14.9,0,0,0.3,0,1,0
25,7.528,20,0,14.9,0,0,0.3,0,1,0
26,7.568,20,0,14.9,0,0,0.3,0,1,0
27,7.608,20,0,14.9,0,0,0.3,0,1,0
28,7.648,20,0,14.9,0,0,0.3,0,1,0
29,7.688,20,0,14.9,0,0,0.3,0,1,0
30,7.728,20,0,14.9,0,0,0.3,0,1,0
31,7.742,20,0,14.9,0,0,0.3,0,1,0
32,7.782,20,0,14.9,0,0,0.3,0,1,0
33,7.822,20,0,14.9,0,0,0.3,0,1,0
34,7.862,20,0,14.9,0,0,0.3,0,1,0
35,7.902,20,0,14.9,0,0,0.3,0,1,0
36,7.942,20,0,14.9,0,0,0.3,0,1,0
37,7.982,20,0,14.9,0,0,0.3,0,1,0
38,8.022,20,0,14.9,0,0,0.3,0,1,0
39,8.062,20,0,14.9,0,0,0.3,0,1,0
40,8.102,20,0,14.9,0,0,0.3,0,1,0
41,8.116,20,0,14.9,0,0,0.3,0,1,0
42,8.156,20,0,14.9,0,0,0.3,0,1,0
43,8.196,20,0,14.9,0,0,0.3,0,1,0
44,8.236,20,0,14.9,0,0,0.3,0,1,0
45,8.276,20,0,14.9,0,0,0.3,0,1,0
46,8.316,20,0,14.9,0,0,0.3,0,1,0
47,8.356,20,0,14.9,0,0,0.3,0,1,0
48,8.396,20,0,14.9,0,0,0.3,0,1,0
49,8.436,20,0,14.9,0,0,0.3,0,1,0
50,8.476,20,0,14.9,0,0,0.3,0,1,0
