1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,3.8,20,0,14.9,0,0,0.3,0,1,0
2,3.86,20,0,14.9,0,0,0.3,0,1,0
3,3.92,20,0,14.9,0,0,0.3,0,1,0
4,3.98,20,0,14.9,0,0,0.3,0,1,0
5,4.04,20,0,14.9,0,0,0.3,0,1,0
6,4.1,20,0,14.9,0,0,0.3,0,1,0
7,4.16,20,0,14.9,0,0,0.3,0,1,0
8,4.22,20,0,14.9,0,0,0.3,0,1,0
9,4.28,20,0,14.9,0,0,0.3,0,1,0
10,4.34,20,0,14.9,0,0,0.3,0,1,0
11,4.366,20,0,14.9,0,0,0.3,0,1,0
12,4.426,20,0,14.9,0,0,0.3,0,1,0
13,4.486,20,0,14.9,0,0,0.3,0,1,0
14,4.546,20,0,14.9,0,0,0.3,0,1,0
15,4.606,20,0,14.9,0,0,0.3,0,1,0
16,4.666,20,0,14.9,0,0,0.3,0,1,0
17,4.726,20,0,14.9,0,0,0.3,0,1,0
18,4.786,20,0,14.9,0,0,0.3,0,1,0
19,4.846,20,0,14.9,0,0,0.3,0,1,0
20,4.906,20,0,14.9,0,0,0.3,0,1,0
21,4.932,20,0,14.9,0,0,0.3,0,1,0
22,4.992,20,0,14.9,0,0,0.3,0,1,0
23,5.052,20,0,14.9,0,0,0.3,0,1,0
24,5.112,20,0,14.9,0,0,0.3,0,1,0
25,5.172,20,0,14.9,0,0,0.3,0,1,0
26,5.232,20,0,14.9,0,0,0.3,0,1,0
27,5.292,20,0,14.9,0,0,0.3,0,1,0
28,5.352,20,0,14.9,0,0,0.3,0,1,0
29,5.412,20,0,14.9,0,0,0.3,0,1,0
30,5.472,20,0,14.9,0,0,0.3,0,1,0
31,5.498,20,0,14.9,0,0,0.3,0,1,0
32,5.558,20,0,14.9,0,0,0.3,0,1,0
33,5.618,20,0,14.9,0,0,0.3,0,1,0
34,5.678,20,0,14.9,0,0,0.3,0,1,0
35,5.738,20,0,14.9,0,0,0.3,0,1,0
36,5.798,20,0,14.9,0,0,0.3,0,1,0
37,5.858,20,0,14.9,0,0,0.3,0,1,0
38,5.918,20,0,14.9,0,0,0.3,0,1,0
39,5.978,20,0,14.9,0,0,0.3,0,1,0
40,6.038,20,0,14.9,0,0,0.3,0,1,0
41,6.064,20,0,14.9,0,0,0.3,0,1,0
42,6.124,20,0,14.9,0,0,0.3,0,1,0
43,6.184,20,0,14.9,0,0,0.3,0,1,0
44,6.244,20,0,14.9,0,0,0.3,0,1,0
45,6.304,20,0,14.9,0,0,0.3,0,1,0
46,6.364,20,0,14.9,0,0,0.3,0,1,0
47,6.424,20,0,14.9,0,0,0.3,0,1,0
48,6.484,20,0,14.9,0,0,0.3,0,1,0
49,6.544,20,0,14.9,0,0,0.3,0,1,0
50,6.604,20,0,14.9,0,0,0.3,0,1,0
