1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,3.1,20,0,14.9,0,0,0.3,0,1,0
2,3.15,20,0,14.9,0,0,0.3,0,1,0
3,3.2,20,0,14.9,0,0,0.3,0,1,0
4,3.25,20,0,14.9,0,0,0.3,0,1,0
5,3.3,20,0,14.9,0,0,0.3,0,1,0
6,3.35,20,0,14.9,0,0,0.3,0,1,0
7,3.4,20,0,14.9,0,0,0.3,0,1,0
8,3.45,20,0,14.9,0,0,0.3,0,1,0
9,3.5,20,0,14.9,0,0,0.3,0,1,0
10,3.55,20,0,14.9,0,0,0.3,0,1,0
11,3.634,20,0,14.9,0,0,0.3,0,1,0
12,3.684,20,0,14.9,0,0,0.3,0,1,0
13,3.734,20,0,14.9,0,0,0.3,0,1,0
14,3.784,20,0,14.9,0,0,0.3,0,1,0
15,3.834,20,0,14.9,0,0,0.3,0,1,0
16,3.884,20,0,14.9,0,0,0.3,0,1,0
17,3.934,20,0,14.9,0,0,0.3,0,1,0
18,3.984,20,0,14.9,0,0,0.3,0,1,0
19,4.034,20,0,14.9,0,0,0.3,0,1,0
20,4.084,20,0,14.9,0,0,0.3,0,1,0
21,4.168,20,0,14.9,0,0,0.3,0,1,0
22,4.218,20,0,14.9,0,0,0.3,0,1,0
23,4.268,20,0,14.9,0,0,0.3,0,1,0
24,4.318,20,0,14.9,0,0,0.3,0,1,0
25,4.368,20,0,14.9,0,0,0.3,0,1,0
26,4.418,20,0,14.9,0,0,0.3,0,1,0
27,4.468,20,0,14.9,0,0,0.3,0,1,0
28,4.518,20,0,14.9,0,0,0.3,0,1,0
29,4.568,20,0,14.9,0,0,0.3,0,1,0
30,4.618,20,0,14.9,0,0,0.3,0,1,0
31,4.702,20,0,14.9,0,0,0.3,0,1,0
32,4.752,20,0,14.9,0,0,0.3,0,1,0
33,4.802,20,0,14.9,0,0,0.3,0,1,0
34,4.852,20,0,14.9,0,0,0.3,0,1,0
35,4.902,20,0,14.9,0,0,0.3,0,1,0
36,4.952,20,0,14.9,0,0,0.3,0,1,0
37,5.002,20,0,14.9,0,0,0.3,0,1,0
38,5.052,20,0,14.9,0,0,0.3,0,1,0
39,5.102,20,0,14.9,0,0,0.3,0,1,0
40,5.152,20,0,14.9,0,0,0.3,0,1,0
41,5.236,20,0,14.9,0,0,0.3,0,1,0
42,5.296,20,0,14.9,0,0,0.3,0,1,0
43,5.356,20,0,14.9,0,0,0.3,0,1,0
44,5.416,20,0,14.9,0,0,0.3,0,1,0
45,5.476,20,0,14.9,0,0,0.3,0,1,0
46,5.536,20,0,14.9,0,0,0.3,0,1,0
47,5.596,20,0,14.9,0,0,0.3,0,1,0
48,5.656,20,0,14.9,0,0,0.3,0,1,0
49,5.716,20,0,14.9,0,0,0.3,0,1,0
50,5.776,20,0,14.9,0,0,0.3,0,1,0
