2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,810,20,0,0,0,0,1,0,1,5
2,819,20,0,0,0,0,1,0,1,5
3,828,20,0,0,0,0,1,0,1,5
4,837,20,0,0,0,0,1,0,1,5
5,846,20,0,0,0,0,1,0,1,5
6,855,20,0,0,0,0,1,0,1,5
7,864,20,0,0,0,0,1,0,1,5
8,873,20,0,0,0,0,1,0,1,5
9,882,20,0,0,0,0,1,0,1,5
10,891,20,0,0,0,0,1,0,1,5
11,900,20,0,0,0,0,1,0,1,5
12,909,20,0,0,0,0,1,0,1,5
13,918,20,0,0,0,0,1,0,1,5
14,927,20,0,0,0,0,1,0,1,5
15,936,20,0,0,0,0,1,0,1,5
16,945,20,0,0,0,0,1,0,1,5
17,954,20,0,0,0,0,1,0,1,5
18,963,20,0,0,0,0,1,0,1,5
19,972,20,0,0,0,0,1,0,1,5
20,981,20,0,0,0,0,1,0,1,5
21,990,20,0,0,0,0,1,0,1,5
22,999,20,0,0,0,0,1,0,1,5
23,1008,20,0,0,0,0,1,0,1,5
24,1017,20,0,0,0,0,1,0,1,5
25,1026,20,0,0,0,0,1,0,1,5
26,1035,20,0,0,0,0,1,0,1,5
27,1044,20,0,0,0,0,1,0,1,5
28,1053,20,0,0,0,0,1,0,1,5
29,1062,20,0,0,0,0,1,0,1,5
30,1071,20,0,0,0,0,1,0,1,5
31,1080,20,0,0,0,0,1,0,1,5
32,1089,20,0,0,0,0,1,0,1,5
33,1098,20,0,0,0,0,1,0,1,5
34,1107,20,0,0,0,0,1,0,1,5
35,1116,20,0,0,0,0,1,0,1,5
36,1125,20,0,0,0,0,1,0,1,5
37,1134,20,0,0,0,0,1,0,1,5
38,1143,20,0,0,0,0,1,0,1,5
39,1152,20,0,0,0,0,1,0,1,5
40,1161,20,0,0,0,0,1,0,1,5
41,1170,20,0,0,0,0,1,0,1,5
42,1180,20,0,0,0,0,1,0,1,5
43,1190,20,0,0,0,0,1,0,1,5
44,1200,20,0,0,0,0,1,0,1,5
45,1210,20,0,0,0,0,1,0,1,5
46,1220,20,0,0,0,0,1,0,1,5
47,1230,20,0,0,0,0,1,0,1,5
48,1240,20,0,0,0,0,1,0,1,5
49,1250,20,0,0,0,0,1,0,1,5
50,1260,20,0,0,0,0,1,0,1,5
