2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,225,20,0,0,0,0,1,0,1,5
2,230.44,20,0,0,0,0,1,0,1,5
3,235.88,20,0,0,0,0,1,0,1,5
4,241.32,20,0,0,0,0,1,0,1,5
5,246.76,20,0,0,0,0,1,0,1,5
6,252.2,20,0,0,0,0,1,0,1,5
7,257.64,20,0,0,0,0,1,0,1,5
8,263.08,20,0,0,0,0,1,0,1,5
9,268.52,20,0,0,0,0,1,0,1,5
10,273.96,20,0,0,0,0,1,0,1,5
11,279,20,0,0,0,0,1,0,1,5
12,284.44,20,0,0,0,0,1,0,1,5
13,289.88,20,0,0,0,0,1,0,1,5
14,295.32,20,0,0,0,0,1,0,1,5
15,300.76,20,0,0,0,0,1,0,1,5
16,306.2,20,0,0,0,0,1,0,1,5
17,311.64,20,0,0,0,0,1,0,1,5
18,317.08,20,0,0,0,0,1,0,1,5
19,322.52,20,0,0,0,0,1,0,1,5
20,327.96,20,0,0,0,0,1,0,1,5
21,333,20,0,0,0,0,1,0,1,5
22,338.44,20,0,0,0,0,1,0,1,5
23,343.88,20,0,0,0,0,1,0,1,5
24,349.32,20,0,0,0,0,1,0,1,5
25,354.76,20,0,0,0,0,1,0,1,5
26,360.2,20,0,0,0,0,1,0,1,5
27,365.64,20,0,0,0,0,1,0,1,5
28,371.08,20,0,0,0,0,1,0,1,5
29,376.52,20,0,0,0,0,1,0,1,5
30,381.96,20,0,0,0,0,1,0,1,5
31,387,20,0,0,0,0,1,0,1,5
32,392.44,20,0,0,0,0,1,0,1,5
33,397.88,20,0,0,0,0,1,0,1,5
34,403.32,20,0,0,0,0,1,0,1,5
35,408.76,20,0,0,0,0,1,0,1,5
36,414.2,20,0,0,0,0,1,0,1,5
37,419.64,20,0,0,0,0,1,0,1,5
38,425.08,20,0,0,0,0,1,0,1,5
39,430.52,20,0,0,0,0,1,0,1,5
40,435.96,20,0,0,0,0,1,0,1,5
41,441,20,0,0,0,0,1,0,1,5
42,447,20,0,0,0,0,1,0,1,5
43,453,20,0,0,0,0,1,0,1,5
44,459,20,0,0,0,0,1,0,1,5
45,465,20,0,0,0,0,1,0,1,5
46,471,20,0,0,0,0,1,0,1,5
47,477,20,0,0,0,0,1,0,1,5
48,483,20,0,0,0,0,1,0,1,5
49,489,20,0,0,0,0,1,0,1,5
50,495,20,0,0,0,0,1,0,1,5
