2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,387,15,0,3.7,0,2,2,15,3,0
2,396.77,15,0,3.7,0,2,2,15,3,0
3,406.54,15,0,3.7,0,2,2,15,3,0
4,416.31,15,0,3.7,0,2,2,15,3,0
5,426.08,15,0,3.7,0,2,2,15,3,0
6,435.85,15,0,3.7,0,2,2,15,3,0
7,445.62,15,0,3.7,0,2,2,15,3,0
8,455.39,15,0,3.7,0,2,2,15,3,0
9,465.16,15,0,3.7,0,2,2,15,3,0
10,474.93,15,0,3.7,0,2,2,15,3,0
11,485,15,0,3.7,0,2,2,15,3,0
12,494.77,15,0,3.7,0,2,2,15,3,0
13,504.54,15,0,3.7,0,2,2,15,3,0
14,514.31,15,0,3.7,0,2,2,15,3,0
15,524.08,15,0,3.7,0,2,2,15,3,0
16,533.85,15,0,3.7,0,2,2,15,3,0
17,543.62,15,0,3.7,0,2,2,15,3,0
18,553.39,15,0,3.7,0,2,2,15,3,0
19,563.16,15,0,3.7,0,2,2,15,3,0
20,572.93,15,0,3.7,0,2,2,15,3,0
21,583,15,0,3.7,0,2,2,15,3,0
22,592.77,15,0,3.7,0,2,2,15,3,0
23,602.54,15,0,3.7,0,2,2,15,3,0
24,612.31,15,0,3.7,0,2,2,15,3,0
25,622.08,15,0,3.7,0,2,2,15,3,0
26,631.85,15,0,3.7,0,2,2,15,3,0
27,641.62,15,0,3.7,0,2,2,15,3,0
28,651.39,15,0,3.7,0,2,2,15,3,0
29,661.16,15,0,3.7,0,2,2,15,3,0
30,670.93,15,0,3.7,0,2,2,15,3,0
31,681,15,0,3.7,0,2,2,15,3,0
32,690.77,15,0,3.7,0,2,2,15,3,0
33,700.54,15,0,3.7,0,2,2,15,3,0
34,710.31,15,0,3.7,0,2,2,15,3,0
35,720.08,15,0,3.7,0,2,2,15,3,0
36,729.85,15,0,3.7,0,2,2,15,3,0
37,739.62,15,0,3.7,0,2,2,15,3,0
38,749.39,15,0,3.7,0,2,2,15,3,0
39,759.16,15,0,3.7,0,2,2,15,3,0
40,768.93,15,0,3.7,0,2,2,15,3,0
41,779,15,0,3.7,0,2,2,15,3,0
42,789.88,15,0,3.7,0,2,2,15,3,0
43,800.76,15,0,3.7,0,2,2,15,3,0
44,811.64,15,0,3.7,0,2,2,15,3,0
45,822.52,15,0,3.7,0,2,2,15,3,0
46,833.4,15,0,3.7,0,2,2,15,3,0
47,844.28,15,0,3.7,0,2,2,15,3,0
48,855.16,15,0,3.7,0,2,2,15,3,0
49,866.04,15,0,3.7,0,2,2,15,3,0
50,876.92,15,0,3.7,0,2,2,15,3,0
