2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,728,15,0,3.7,0,2,2,15,3,0
2,734.66,15,0,3.7,0,2,2,15,3,0
3,741.32,15,0,3.7,0,2,2,15,3,0
4,747.98,15,0,3.7,0,2,2,15,3,0
5,754.64,15,0,3.7,0,2,2,15,3,0
6,761.3,15,0,3.7,0,2,2,15,3,0
7,767.96,15,0,3.7,0,2,2,15,3,0
8,774.62,15,0,3.7,0,2,2,15,3,0
9,781.28,15,0,3.7,0,2,2,15,3,0
10,787.94,15,0,3.7,0,2,2,15,3,0
11,794,15,0,3.7,0,2,2,15,3,0
12,800.66,15,0,3.7,0,2,2,15,3,0
13,807.32,15,0,3.7,0,2,2,15,3,0
14,813.98,15,0,3.7,0,2,2,15,3,0
15,820.64,15,0,3.7,0,2,2,15,3,0
16,827.3,15,0,3.7,0,2,2,15,3,0
17,833.96,15,0,3.7,0,2,2,15,3,0
18,840.62,15,0,3.7,0,2,2,15,3,0
19,847.28,15,0,3.7,0,2,2,15,3,0
20,853.94,15,0,3.7,0,2,2,15,3,0
21,859,15,0,3.7,0,2,2,15,3,0
22,865.66,15,0,3.7,0,2,2,15,3,0
23,872.32,15,0,3.7,0,2,2,15,3,0
24,878.98,15,0,3.7,0,2,2,15,3,0
25,885.64,15,0,3.7,0,2,2,15,3,0
26,892.3,15,0,3.7,0,2,2,15,3,0
27,898.96,15,0,3.7,0,2,2,15,3,0
28,905.62,15,0,3.7,0,2,2,15,3,0
29,912.28,15,0,3.7,0,2,2,15,3,0
30,918.94,15,0,3.7,0,2,2,15,3,0
31,925,15,0,3.7,0,2,2,15,3,0
32,931.66,15,0,3.7,0,2,2,15,3,0
33,938.32,15,0,3.7,0,2,2,15,3,0
34,944.98,15,0,3.7,0,2,2,15,3,0
35,951.64,15,0,3.7,0,2,2,15,3,0
36,958.3,15,0,3.7,0,2,2,15,3,0
37,964.96,15,0,3.7,0,2,2,15,3,0
38,971.62,15,0,3.7,0,2,2,15,3,0
39,978.28,15,0,3.7,0,2,2,15,3,0
40,984.94,15,0,3.7,0,2,2,15,3,0
41,990,15,0,3.7,0,2,2,15,3,0
42,997.11,15,0,3.7,0,2,2,15,3,0
43,1004.22,15,0,3.7,0,2,2,15,3,0
44,1011.33,15,0,3.7,0,2,2,15,3,0
45,1018.44,15,0,3.7,0,2,2,15,3,0
46,1025.55,15,0,3.7,0,2,2,15,3,0
47,1032.66,15,0,3.7,0,2,2,15,3,0
48,1039.77,15,0,3.7,0,2,2,15,3,0
49,1046.88,15,0,3.7,0,2,2,15,3,0
50,1053.99,15,0,3.7,0,2,2,15,3,0
