2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,335,15,0,3.7,0,2,2,15,3,0
2,340.11,15,0,3.7,0,2,2,15,3,0
3,345.22,15,0,3.7,0,2,2,15,3,0
4,350.33,15,0,3.7,0,2,2,15,3,0
5,355.44,15,0,3.7,0,2,2,15,3,0
6,360.55,15,0,3.7,0,2,2,15,3,0
7,365.66,15,0,3.7,0,2,2,15,3,0
8,370.77,15,0,3.7,0,2,2,15,3,0
9,375.88,15,0,3.7,0,2,2,15,3,0
10,380.99,15,0,3.7,0,2,2,15,3,0
11,386,15,0,3.7,0,2,2,15,3,0
12,391.22,15,0,3.7,0,2,2,15,3,0
13,396.44,15,0,3.7,0,2,2,15,3,0
14,401.66,15,0,3.7,0,2,2,15,3,0
15,406.88,15,0,3.7,0,2,2,15,3,0
16,412.1,15,0,3.7,0,2,2,15,3,0
17,417.32,15,0,3.7,0,2,2,15,3,0
18,422.54,15,0,3.7,0,2,2,15,3,0
19,427.76,15,0,3.7,0,2,2,15,3,0
20,432.98,15,0,3.7,0,2,2,15,3,0
21,437,15,0,3.7,0,2,2,15,3,0
22,442.22,15,0,3.7,0,2,2,15,3,0
23,447.44,15,0,3.7,0,2,2,15,3,0
24,452.66,15,0,3.7,0,2,2,15,3,0
25,457.88,15,0,3.7,0,2,2,15,3,0
26,463.1,15,0,3.7,0,2,2,15,3,0
27,468.32,15,0,3.7,0,2,2,15,3,0
28,473.54,15,0,3.7,0,2,2,15,3,0
29,478.76,15,0,3.7,0,2,2,15,3,0
30,483.98,15,0,3.7,0,2,2,15,3,0
31,489,15,0,3.7,0,2,2,15,3,0
32,494.11,15,0,3.7,0,2,2,15,3,0
33,499.22,15,0,3.7,0,2,2,15,3,0
34,504.33,15,0,3.7,0,2,2,15,3,0
35,509.44,15,0,3.7,0,2,2,15,3,0
36,514.55,15,0,3.7,0,2,2,15,3,0
37,519.66,15,0,3.7,0,2,2,15,3,0
38,524.77,15,0,3.7,0,2,2,15,3,0
39,529.88,15,0,3.7,0,2,2,15,3,0
40,534.99,15,0,3.7,0,2,2,15,3,0
41,540,15,0,3.7,0,2,2,15,3,0
42,545.66,15,0,3.7,0,2,2,15,3,0
43,551.32,15,0,3.7,0,2,2,15,3,0
44,556.98,15,0,3.7,0,2,2,15,3,0
45,562.64,15,0,3.7,0,2,2,15,3,0
46,568.3,15,0,3.7,0,2,2,15,3,0
47,573.96,15,0,3.7,0,2,2,15,3,0
48,579.62,15,0,3.7,0,2,2,15,3,0
49,585.28,15,0,3.7,0,2,2,15,3,0
50,590.94,15,0,3.7,0,2,2,15,3,0
