1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.05,0,0,0,0,0,0,0,0,0
2,0.053,0,0,0,0,0,0,0,0,0
3,0.056,0,0,0,0,0,0,0,0,0
4,0.059,0,0,0,0,0,0,0,0,0
5,0.062,0,0,0,0,0,0,0,0,0
6,0.065,0,0,0,0,0,0,0,0,0
7,0.068,0,0,0,0,0,0,0,0,0
8,0.071,0,0,0,0,0,0,0,0,0
9,0.074,0,0,0,0,0,0,0,0,0
10,0.077,0,0,0,0,0,0,0,0,0
11,0.082,0,0,0,0,0,0,0,0,0
12,0.085,0,0,0,0,0,0,0,0,0
13,0.088,0,0,0,0,0,0,0,0,0
14,0.091,0,0,0,0,0,0,0,0,0
15,0.094,0,0,0,0,0,0,0,0,0
16,0.097,0,0,0,0,0,0,0,0,0
17,0.1,0,0,0,0,0,0,0,0,0
18,0.103,0,0,0,0,0,0,0,0,0
19,0.106,0,0,0,0,0,0,0,0,0
20,0.109,0,0,0,0,0,0,0,0,0
21,0.114,0,0,0,0,0,0,0,0,0
22,0.117,0,0,0,0,0,0,0,0,0
23,0.12,0,0,0,0,0,0,0,0,0
24,0.123,0,0,0,0,0,0,0,0,0
25,0.126,0,0,0,0,0,0,0,0,0
26,0.129,0,0,0,0,0,0,0,0,0
27,0.132,0,0,0,0,0,0,0,0,0
28,0.135,0,0,0,0,0,0,0,0,0
29,0.138,0,0,0,0,0,0,0,0,0
30,0.141,0,0,0,0,0,0,0,0,0
31,0.145,0,0,0,0,0,0,0,0,0
32,0.148,0,0,0,0,0,0,0,0,0
33,0.151,0,0,0,0,0,0,0,0,0
34,0.154,0,0,0,0,0,0,0,0,0
35,0.157,0,0,0,0,0,0,0,0,0
36,0.16,0,0,0,0,0,0,0,0,0
37,0.163,0,0,0,0,0,0,0,0,0
38,0.166,0,0,0,0,0,0,0,0,0
39,0.169,0,0,0,0,0,0,0,0,0
40,0.172,0,0,0,0,0,0,0,0,0
41,0.177,0,0,0,0,0,0,0,0,0
42,0.181,0,0,0,0,0,0,0,0,0
43,0.185,0,0,0,0,0,0,0,0,0
44,0.189,0,0,0,0,0,0,0,0,0
45,0.193,0,0,0,0,0,0,0,0,0
46,0.197,0,0,0,0,0,0,0,0,0
47,0.201,0,0,0,0,0,0,0,0,0
48,0.205,0,0,0,0,0,0,0,0,0
49,0.209,0,0,0,0,0,0,0,0,0
50,0.213,0,0,0,0,0,0,0,0,0
