1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.405,0,0,0,0,0,0,0,0,0
2,0.408,0,0,0,0,0,0,0,0,0
3,0.411,0,0,0,0,0,0,0,0,0
4,0.414,0,0,0,0,0,0,0,0,0
5,0.417,0,0,0,0,0,0,0,0,0
6,0.42,0,0,0,0,0,0,0,0,0
7,0.423,0,0,0,0,0,0,0,0,0
8,0.426,0,0,0,0,0,0,0,0,0
9,0.429,0,0,0,0,0,0,0,0,0
10,0.432,0,0,0,0,0,0,0,0,0
11,0.438,0,0,0,0,0,0,0,0,0
12,0.441,0,0,0,0,0,0,0,0,0
13,0.444,0,0,0,0,0,0,0,0,0
14,0.447,0,0,0,0,0,0,0,0,0
15,0.45,0,0,0,0,0,0,0,0,0
16,0.453,0,0,0,0,0,0,0,0,0
17,0.456,0,0,0,0,0,0,0,0,0
18,0.459,0,0,0,0,0,0,0,0,0
19,0.462,0,0,0,0,0,0,0,0,0
20,0.465,0,0,0,0,0,0,0,0,0
21,0.471,0,0,0,0,0,0,0,0,0
22,0.474,0,0,0,0,0,0,0,0,0
23,0.477,0,0,0,0,0,0,0,0,0
24,0.48,0,0,0,0,0,0,0,0,0
25,0.483,0,0,0,0,0,0,0,0,0
26,0.486,0,0,0,0,0,0,0,0,0
27,0.489,0,0,0,0,0,0,0,0,0
28,0.492,0,0,0,0,0,0,0,0,0
29,0.495,0,0,0,0,0,0,0,0,0
30,0.498,0,0,0,0,0,0,0,0,0
31,0.504,0,0,0,0,0,0,0,0,0
32,0.507,0,0,0,0,0,0,0,0,0
33,0.51,0,0,0,0,0,0,0,0,0
34,0.513,0,0,0,0,0,0,0,0,0
35,0.516,0,0,0,0,0,0,0,0,0
36,0.519,0,0,0,0,0,0,0,0,0
37,0.522,0,0,0,0,0,0,0,0,0
38,0.525,0,0,0,0,0,0,0,0,0
39,0.528,0,0,0,0,0,0,0,0,0
40,0.531,0,0,0,0,0,0,0,0,0
41,0.537,0,0,0,0,0,0,0,0,0
42,0.541,0,0,0,0,0,0,0,0,0
43,0.545,0,0,0,0,0,0,0,0,0
44,0.549,0,0,0,0,0,0,0,0,0
45,0.553,0,0,0,0,0,0,0,0,0
46,0.557,0,0,0,0,0,0,0,0,0
47,0.561,0,0,0,0,0,0,0,0,0
48,0.565,0,0,0,0,0,0,0,0,0
49,0.569,0,0,0,0,0,0,0,0,0
50,0.573,0,0,0,0,0,0,0,0,0
