1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0.1,0,0,0,0,0,0,0,0,0
2,0.104,0,0,0,0,0,0,0,0,0
3,0.108,0,0,0,0,0,0,0,0,0
4,0.112,0,0,0,0,0,0,0,0,0
5,0.116,0,0,0,0,0,0,0,0,0
6,0.12,0,0,0,0,0,0,0,0,0
7,0.124,0,0,0,0,0,0,0,0,0
8,0.128,0,0,0,0,0,0,0,0,0
9,0.132,0,0,0,0,0,0,0,0,0
10,0.136,0,0,0,0,0,0,0,0,0
11,0.144,0,0,0,0,0,0,0,0,0
12,0.148,0,0,0,0,0,0,0,0,0
13,0.152,0,0,0,0,0,0,0,0,0
14,0.156,0,0,0,0,0,0,0,0,0
15,0.16,0,0,0,0,0,0,0,0,0
16,0.164,0,0,0,0,0,0,0,0,0
17,0.168,0,0,0,0,0,0,0,0,0
18,0.172,0,0,0,0,0,0,0,0,0
19,0.176,0,0,0,0,0,0,0,0,0
20,0.18,0,0,0,0,0,0,0,0,0
21,0.188,0,0,0,0,0,0,0,0,0
22,0.192,0,0,0,0,0,0,0,0,0
23,0.196,0,0,0,0,0,0,0,0,0
24,0.2,0,0,0,0,0,0,0,0,0
25,0.204,0,0,0,0,0,0,0,0,0
26,0.208,0,0,0,0,0,0,0,0,0
27,0.212,0,0,0,0,0,0,0,0,0
28,0.216,0,0,0,0,0,0,0,0,0
29,0.22,0,0,0,0,0,0,0,0,0
30,0.224,0,0,0,0,0,0,0,0,0
31,0.232,0,0,0,0,0,0,0,0,0
32,0.236,0,0,0,0,0,0,0,0,0
33,0.24,0,0,0,0,0,0,0,0,0
34,0.244,0,0,0,0,0,0,0,0,0
35,0.248,0,0,0,0,0,0,0,0,0
36,0.252,0,0,0,0,0,0,0,0,0
37,0.256,0,0,0,0,0,0,0,0,0
38,0.26,0,0,0,0,0,0,0,0,0
39,0.264,0,0,0,0,0,0,0,0,0
40,0.268,0,0,0,0,0,0,0,0,0
41,0.276,0,0,0,0,0,0,0,0,0
42,0.281,0,0,0,0,0,0,0,0,0
43,0.286,0,0,0,0,0,0,0,0,0
44,0.291,0,0,0,0,0,0,0,0,0
45,0.296,0,0,0,0,0,0,0,0,0
46,0.301,0,0,0,0,0,0,0,0,0
47,0.306,0,0,0,0,0,0,0,0,0
48,0.311,0,0,0,0,0,0,0,0,0
49,0.316,0,0,0,0,0,0,0,0,0
50,0.321,0,0,0,0,0,0,0,0,0
